,ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC,peak1_period,peak2_period,peak3_period,peak1_amp,peak2_amp,peak3_amp,num_sigpeaks
0,249.36266380000004,42,0.6167632120000001,0.219692407,136.86145430000002,49.77820905,0.802899079,25.73174132,1.0,-0.35,11.91,0.18,B,202610930,378.498566799999,37.849856679999895,19.920977199999946,0.09905350483210013,0.1544139387929872,0.12817666544103123,3
1,83169.0,20,2.557007855,0.16258574,932465.0018,7750.0,0.576560073,34663.09168,0.58,0.09,1.95,0.002,QPS,202876718,76.76215821000005,14.761953501923088,22.57710535588237,0.1991904135996174,0.007392494675411783,0.009431715992898042,2
2,63.48247792,4,1.0044626970000001,0.8276520759999999,51.00691268,10.44703231,0.7781237809999999,3.657261801,0.85,-0.01,13.16,0.06,N,203082998,383.81080454999847,13.234855329310292,21.322822474999917,0.18265714099782349,0.01219569840550718,0.025535914450507572,3
3,191.23567680000002,10,1.738385905,0.115937444,65.29611541,36.71003711,0.769270184,11.57941053,0.75,0.53,1.35,0.33,QPD,203083616,95.90159617499978,18.26697069999996,25.57375897999994,0.3018730693803217,0.01113827668491102,0.03161187535923834,3
4,3793.90131,37,1.332478453,0.002132441,4358.2673780000005,2119.02192,0.884780647,2193.052218,0.03,0.19,4.17,0.13,P,203318214,10.963099098571483,383.7084684500019,9.838678678205177,0.001145999332341334,0.007146142526617087,0.0011816368276063405,0
5,223.69556609999998,7,0.5869723170000001,0.078514442,247.31447740000002,72.6345709,0.827702831,14.46262045,0.06,-0.21,0.78,0.06,P,203337814,383.81066205000025,1000.0,1000.0,0.01818651405819552,1000.0,1000.0,1
6,689.3799142000001,16,2.852143102,0.036981404,397.7201622,78.13529697,0.669570737,109.6273001,0.77,0.62,2.23,0.09,APD,203343161,383.606426450001,34.87331149545464,1000.0,0.020355446630730873,0.0092029330549081,1000.0,2
7,58.10719042,152,0.7927002390000001,0.150212746,36.29653512,10.79932311,0.801829945,4.443245996,0.83,-0.14,61.46,0.08,QPS,203377650,127.93688479999976,6.733520252631566,7.52569910588234,0.35802593204889294,0.01845893845278398,0.035989340152975814,3
8,1825.3192179999999,36,2.729396944,0.008592966,1518.541794,10.73935119,0.232657041,50.26901348,1.0,-1.14,78.66,0.1,B,203382255,383.2998386999997,11.273524667647052,9.828200992307686,0.37276690800856294,0.0018412460321821063,0.002630308407893209,1
9,94.49088352,10,1.1857174240000001,0.139951416,199.6227435,29.25723496,0.8540896440000001,8.701223127999999,0.16,0.13,1.08,0.03,MP,203385048,383.81066505000035,34.89187864090913,1000.0,0.017787311594407575,0.014952693814957126,1000.0,2
10,116887.8722,39,4.888613298,0.0044638379999999995,92066.13098,16895.26463,0.7318840790000001,24977.39584,0.91,0.88,7.36,0.24,APD,203410665,383.810742149999,54.83010602142843,1000.0,0.026436084150533494,0.09726083345156923,1000.0,2
11,52648.139930000005,42,1.768952536,0.014006205,34991.88747,7254.742340000001,0.7186598829999999,8640.4467,0.83,0.37,18.7,0.45,S,203417549,383.8106913000001,47.97633641250001,25.58737942000001,0.33270160100372137,0.15596502304057067,0.0375533277123469,3
12,219.22362230000002,13,3.594275133,0.150175822,82.67412897,21.65363637,0.6858220509999999,12.26182249,0.82,0.64,25.36,0.17,APD,203429083,383.6062664499991,54.80089520714272,1000.0,0.03782849749506061,0.06765776245481082,1000.0,2
13,1088.680125,446,1.011019265,0.004823983,1973.400523,360.4344353,0.829046587,244.339841,0.32,0.29,6.76,0.05,QPS,203440253,127.93691126666621,38.38107337999986,25.587382253333242,0.7393460673902887,0.06585774807396606,0.017384912292911923,3
14,18154.399980000002,34,1.3489106530000001,0.004043642,14902.8297,5653.7795909999995,0.81306887,7000.490942,0.37,0.2,3.79,0.79,QPS,203465909,12.3744012435484,20.189812555263178,6.393440642500006,0.015811949339589473,0.019176881011670668,0.005565693149152105,2
15,77.88685104,168,2.249217511,0.146307476,44.3784984,11.36595058,0.772926027,4.323193481000001,0.72,0.44,1.56,0.09,QPD,203542463,383.81063125000077,18.27669672619051,31.984219270833396,0.521571786672974,0.05675743635273051,0.18027840616341817,3
16,720.7452722999999,13,2.78584177,0.11679829300000001,447.6521582,53.38301899,0.594382388,40.31112439,0.5,0.56,1.84,0.1,QPD,203559274,95.9526564250001,7.380973571153854,8.343709254347836,0.055156543031159966,0.001295038539715865,0.0041974318061150685,1
17,1047.763707,584,0.34175857200000004,0.052666672000000005,1000.907699,186.82924350000002,0.70314497,78.93392263,1.0,-0.36,95.25,0.04,U,203604427,191.90537675000084,34.891886681818335,19.190537675000083,0.7509780839082235,0.10192200478362023,0.021241050714083384,3
18,7781.746581999999,28,0.8375342159999999,0.029239057000000002,4886.757772999999,1660.886338,0.798969004,1687.7224350000001,0.78,-0.13,3.29,0.49,QPS,203637940,383.8107080500003,19.190535402500014,15.352428322000012,0.06672560729137092,0.049026041897910815,0.018194878481083126,3
19,10286.5,14,0.86860005,0.310876845,148756.2161,2029.25,0.8094820290000001,7580.88876,0.48,-0.39,2.63,0.003,QPS,203649927,383.8106740500007,1000.0,1000.0,0.011975550381000009,1000.0,1000.0,1
20,4397.097666,115,10.54002368,0.00095175,5069.245669,424.90090319999996,0.5648939000000001,369.5007104,1.0,1.04,47.57,0.08,APD,203664569,383.8105936000011,27.415042400000075,1000.0,0.5949648746432596,0.03755200812808978,1000.0,2
